team_abbreviation,year_id,pts,opp_pts,game_result,game_location
HOU,2015,108,90,W,Away
LAL,2015,90,108,L,Home
NOP,2015,101,84,W,Home
ORL,2015,84,101,L,Away
SAS,2015,101,100,W,Home
DAL,2015,100,101,L,Away
BOS,2015,121,105,W,Home
BRK,2015,105,121,L,Away
MIL,2015,106,108,L,Away
CHO,2015,108,106,W,Home
DEN,2015,89,79,W,Home
DET,2015,79,89,L,Away
IND,2015,103,91,W,Home
PHI,2015,91,103,L,Away
MEM,2015,105,101,W,Home
MIN,2015,101,105,L,Away
WAS,2015,95,107,L,Away
MIA,2015,107,95,W,Home
NYK,2015,80,104,L,Home
CHI,2015,104,80,W,Away
PHO,2015,119,99,W,Home
LAL,2015,99,119,L,Away
OKC,2015,89,106,L,Away
POR,2015,106,89,W,Home
GSW,2015,95,77,W,Away
SAC,2015,77,95,L,Home
TOR,2015,109,102,W,Home
ATL,2015,102,109,L,Away
UTA,2015,93,104,L,Home
HOU,2015,104,93,W,Away
CLE,2015,90,95,L,Home
NYK,2015,95,90,W,Away
UTA,2015,102,120,L,Away
DAL,2015,120,102,W,Home
OKC,2015,90,93,L,Away
LAC,2015,93,90,W,Home
DET,2015,91,97,L,Away
MIN,2015,97,91,W,Home
WAS,2015,105,98,W,Away
ORL,2015,98,105,L,Home
CHI,2015,108,114,L,Home
CLE,2015,114,108,W,Away
MEM,2015,97,89,W,Away
IND,2015,89,97,L,Home
LAC,2015,118,111,W,Away
LAL,2015,111,118,L,Home
MIL,2015,93,81,W,Home
PHI,2015,81,93,L,Away
PHO,2015,94,89,W,Home
SAS,2015,89,94,L,Away
POR,2015,94,103,L,Away
SAC,2015,103,94,W,Home
IND,2015,92,102,L,Away
ATL,2015,102,92,W,Home
MEM,2015,71,69,W,Away
CHO,2015,69,71,L,Home
BRK,2015,102,90,W,Away
DET,2015,90,102,L,Home
LAL,2015,104,127,L,Away
GSW,2015,127,104,W,Home
HOU,2015,104,90,W,Home
BOS,2015,90,104,L,Away
MIN,2015,105,106,L,Home
CHI,2015,106,105,W,Away
DAL,2015,109,104,W,Away
NOP,2015,104,109,L,Home
DEN,2015,91,102,L,Away
OKC,2015,102,91,W,Home
TOR,2015,108,95,W,Away
ORL,2015,95,108,L,Home
MIA,2015,114,96,W,Away
PHI,2015,96,114,L,Home
UTA,2015,118,91,W,Home
PHO,2015,91,118,L,Away
MIL,2015,97,108,L,Away
WAS,2015,108,97,W,Home
