Player,Year,Tm,G,PTS,TRB,AST
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0
Jordan Adams,2015.0,MEM,30.0,94.0,28.0,16.0
Steven Adams,2015.0,OKC,70.0,537.0,523.0,66.0
Jeff Adrien,2015.0,MIN,17.0,60.0,77.0,15.0
Arron Afflalo,2015.0,DEN,53.0,771.0,180.0,101.0
Alexis Ajinca,2015.0,NOP,68.0,443.0,315.0,47.0
Furkan Aldemir,2015.0,PHI,41.0,93.0,176.0,28.0
Cole Aldrich,2015.0,NYK,61.0,338.0,338.0,75.0
LaMarcus Aldridge,2015.0,POR,71.0,1661.0,726.0,124.0
Lavoy Allen,2015.0,IND,63.0,315.0,323.0,73.0
Tony Allen,2015.0,MEM,63.0,539.0,280.0,86.0
Al-Farouq Aminu,2015.0,DAL,74.0,412.0,342.0,59.0
Lou Amundson,2015.0,CLE,12.0,11.0,20.0,5.0
Chris Andersen,2015.0,MIA,60.0,320.0,299.0,43.0
Alan Anderson,2015.0,BRK,74.0,545.0,204.0,83.0
Kyle Anderson,2015.0,SAS,33.0,74.0,72.0,28.0
Ryan Anderson,2015.0,NOP,61.0,833.0,295.0,55.0
Giannis Antetokounmpo,2015.0,MIL,81.0,1030.0,542.0,207.0
Carmelo Anthony,2015.0,NYK,40.0,966.0,264.0,122.0
Joel Anthony,2015.0,DET,49.0,87.0,93.0,5.0
Pero Antic,2015.0,ATL,63.0,356.0,189.0,49.0
Trevor Ariza,2015.0,HOU,82.0,1048.0,459.0,209.0
Darrell Arthur,2015.0,DEN,58.0,382.0,171.0,57.0
Omer Asik,2015.0,NOP,76.0,557.0,748.0,72.0
D.J. Augustin,2015.0,DET,54.0,574.0,100.0,265.0
Jeff Ayres,2015.0,SAS,51.0,137.0,117.0,14.0
Luke Babbitt,2015.0,NOP,63.0,256.0,111.0,24.0
Cameron Bairstow,2015.0,CHI,18.0,10.0,8.0,1.0
Leandro Barbosa,2015.0,GSW,66.0,467.0,91.0,99.0
J.J. Barea,2015.0,DAL,77.0,580.0,134.0,263.0
Andrea Bargnani,2015.0,NYK,29.0,430.0,127.0,46.0
Harrison Barnes,2015.0,GSW,82.0,827.0,453.0,116.0
Matt Barnes,2015.0,LAC,76.0,764.0,302.0,114.0
Earl Barron,2015.0,PHO,16.0,32.0,28.0,5.0
Will Barton,2015.0,POR,30.0,90.0,34.0,27.0
Brandon Bass,2015.0,BOS,82.0,866.0,398.0,104.0
Nicolas Batum,2015.0,POR,71.0,664.0,416.0,341.0
Jerryd Bayless,2015.0,MIL,77.0,598.0,211.0,233.0
Aron Baynes,2015.0,SAS,70.0,461.0,318.0,35.0
Kent Bazemore,2015.0,ATL,75.0,390.0,222.0,78.0
Bradley Beal,2015.0,WAS,63.0,962.0,241.0,194.0
Michael Beasley,2015.0,MIA,24.0,212.0,89.0,32.0
Marco Belinelli,2015.0,SAS,62.0,568.0,157.0,94.0
Jerrelle Benimon,2015.0,UTA,2.0,0.0,3.0,0.0
Anthony Bennett,2015.0,MIN,57.0,298.0,216.0,48.0
Patrick Beverley,2015.0,HOU,56.0,568.0,237.0,192.0
Sim Bhullar,2015.0,SAC,3.0,2.0,1.0,1.0
Bismack Biyombo,2015.0,CHO,64.0,304.0,407.0,16.0
Tarik Black,2015.0,HOU,25.0,105.0,127.0,8.0
DeJuan Blair,2015.0,WAS,29.0,56.0,56.0,3.0
Steve Blake,2015.0,POR,81.0,350.0,137.0,288.0
Eric Bledsoe,2015.0,PHO,81.0,1377.0,423.0,493.0
Vander Blue,2015.0,LAL,2.0,22.0,9.0,8.0
Bojan Bogdanovic,2015.0,BRK,78.0,700.0,213.0,68.0
Andrew Bogut,2015.0,GSW,67.0,422.0,543.0,180.0
Matt Bonner,2015.0,SAS,72.0,264.0,115.0,47.0
Trevor Booker,2015.0,UTA,79.0,567.0,397.0,83.0
Carlos Boozer,2015.0,LAL,71.0,836.0,482.0,95.0
Chris Bosh,2015.0,MIA,44.0,928.0,310.0,95.0
Avery Bradley,2015.0,BOS,77.0,1071.0,241.0,135.0
Elton Brand,2015.0,ATL,36.0,96.0,100.0,22.0
Corey Brewer,2015.0,MIN,24.0,251.0,94.0,78.0
Aaron Brooks,2015.0,CHI,82.0,954.0,166.0,261.0
Jabari Brown,2015.0,LAL,19.0,227.0,36.0,40.0
Lorenzo Brown,2015.0,MIN,29.0,122.0,70.0,90.0
Markel Brown,2015.0,BRK,47.0,216.0,107.0,39.0
Shannon Brown,2015.0,MIA,5.0,20.0,1.0,3.0
Kobe Bryant,2015.0,LAL,35.0,782.0,199.0,197.0
Chase Budinger,2015.0,MIN,67.0,457.0,198.0,64.0
Reggie Bullock,2015.0,LAC,25.0,65.0,40.0,6.0
Trey Burke,2015.0,UTA,76.0,973.0,204.0,328.0
Alec Burks,2015.0,UTA,27.0,374.0,114.0,82.0
Caron Butler,2015.0,DET,78.0,460.0,196.0,79.0
Jimmy Butler,2015.0,CHI,65.0,1301.0,379.0,212.0
Rasual Butler,2015.0,WAS,75.0,580.0,197.0,63.0
Dwight Buycks,2015.0,LAL,6.0,52.0,12.0,14.0
Will Bynum,2015.0,WAS,7.0,22.0,6.0,18.0
Bruno Caboclo,2015.0,TOR,8.0,10.0,2.0,0.0
Nick Calathes,2015.0,MEM,58.0,243.0,106.0,146.0
Jose Calderon,2015.0,NYK,42.0,382.0,124.0,198.0
Kentavious Caldwell-Pope,2015.0,DET,82.0,1043.0,255.0,109.0
Isaiah Canaan,2015.0,HOU,25.0,154.0,33.0,29.0
Clint Capela,2015.0,HOU,12.0,32.0,36.0,2.0
DeMarre Carroll,2015.0,ATL,70.0,883.0,372.0,118.0
Vince Carter,2015.0,MEM,66.0,384.0,133.0,79.0
Michael Carter-Williams,2015.0,PHI,41.0,613.0,254.0,302.0
Omri Casspi,2015.0,SAC,67.0,593.0,260.0,102.0
Mario Chalmers,2015.0,MIA,80.0,813.0,206.0,307.0
Tyson Chandler,2015.0,DAL,75.0,771.0,864.0,84.0
Wilson Chandler,2015.0,DEN,78.0,1085.0,475.0,134.0
Will Cherry,2015.0,CLE,8.0,15.0,5.0,8.0
Patrick Christopher,2015.0,UTA,4.0,6.0,6.0,0.0
Earl Clark,2015.0,BRK,10.0,27.0,23.0,3.0
Ian Clark,2015.0,UTA,23.0,44.0,13.0,10.0
Jordan Clarkson,2015.0,LAL,59.0,703.0,191.0,206.0
Victor Claver,2015.0,POR,10.0,24.0,20.0,1.0
Norris Cole,2015.0,MIA,47.0,295.0,108.0,165.0
Darren Collison,2015.0,SAC,45.0,725.0,143.0,252.0
Nick Collison,2015.0,OKC,66.0,273.0,250.0,90.0
Mike Conley,2015.0,MEM,70.0,1107.0,209.0,375.0
Jack Cooley,2015.0,UTA,16.0,27.0,25.0,1.0
Chris Copeland,2015.0,IND,50.0,309.0,111.0,51.0
Bryce Cotton,2015.0,UTA,15.0,80.0,18.0,15.0
DeMarcus Cousins,2015.0,SAC,59.0,1421.0,747.0,210.0
Robert Covington,2015.0,PHI,70.0,943.0,316.0,105.0
Allen Crabbe,2015.0,POR,51.0,168.0,73.0,39.0
Jamal Crawford,2015.0,LAC,64.0,1010.0,124.0,158.0
Jae Crowder,2015.0,DAL,25.0,89.0,29.0,12.0
Dante Cunningham,2015.0,NOP,66.0,340.0,256.0,50.0
Jared Cunningham,2015.0,LAC,19.0,35.0,9.0,10.0
Seth Curry,2015.0,PHO,2.0,0.0,2.0,1.0
Stephen Curry,2015.0,GSW,80.0,1900.0,341.0,619.0
Samuel Dalembert,2015.0,NYK,32.0,128.0,168.0,29.0
Troy Daniels,2015.0,HOU,17.0,46.0,6.0,4.0
Luigi Datome,2015.0,DET,3.0,11.0,4.0,2.0
Brandon Davies,2015.0,PHI,20.0,126.0,73.0,28.0
Anthony Davis,2015.0,NOP,68.0,1656.0,696.0,149.0
Ed Davis,2015.0,LAL,79.0,656.0,600.0,94.0
Glen Davis,2015.0,LAC,74.0,294.0,169.0,39.0
Andre Dawkins,2015.0,MIA,4.0,3.0,2.0,1.0
Austin Daye,2015.0,SAS,26.0,103.0,61.0,9.0
Dewayne Dedmon,2015.0,ORL,59.0,216.0,295.0,9.0
Matthew Dellavedova,2015.0,CLE,67.0,319.0,126.0,204.0
Luol Deng,2015.0,MIA,72.0,1007.0,376.0,139.0
DeMar DeRozan,2015.0,TOR,60.0,1204.0,277.0,210.0
Boris Diaw,2015.0,SAS,81.0,708.0,348.0,233.0
Gorgui Dieng,2015.0,MIN,73.0,710.0,609.0,146.0
Spencer Dinwiddie,2015.0,DET,34.0,145.0,48.0,104.0
Joey Dorsey,2015.0,HOU,69.0,184.0,279.0,25.0
