Player,Year,Tm,G,PTS,TRB,AST,Team_PTS,Team_Opp_PTS,game_result,game_location
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,80,104,L,Home
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,95,90,W,Away
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,96,93,W,Home
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,83,98,L,Home
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,95,98,L,Away
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,99,110,L,Away
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,96,103,L,Away
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,85,91,L,Home
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,95,97,L,Home
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,100,102,L,Home
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,109,93,W,Home
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,113,117,L,Away
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,99,115,L,Away
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,91,83,W,Home
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,86,91,L,Away
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,102,109,L,Away
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,78,105,L,Away
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,79,86,L,Home
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,93,98,L,Home
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,87,90,L,Home
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,102,103,L,Away
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,99,103,L,Home
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,93,104,L,Away
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,95,109,L,Away
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,101,95,W,Away
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,90,95,L,Home
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,87,107,L,Home
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,97,103,L,Away
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,90,99,L,Home
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,108,118,L,Away
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,91,102,L,Home
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,129,135,L,Away
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,79,101,L,Away
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,78,99,L,Away
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,81,97,L,Home
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,82,95,L,Home
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,83,105,L,Away
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,91,101,L,Away
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,96,120,L,Home
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,82,110,L,Home
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,79,95,L,Neutral
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,99,92,W,Home
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,98,91,W,Away
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,113,106,W,Home
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,71,76,L,Away
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,100,92,W,Home
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,82,103,L,Away
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,92,80,W,Home
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,97,108,L,Home
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,88,92,L,Away
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,92,106,L,Home
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,83,89,L,Away
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,87,111,L,Home
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,83,101,L,Home
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,94,115,L,Away
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,121,115,W,Away
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,103,98,W,Home
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,86,124,L,Home
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,82,105,L,Away
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,86,92,L,Home
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,78,106,L,Away
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,82,87,L,Away
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,101,94,W,Away
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,94,125,L,Away
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,89,102,L,Away
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,104,100,W,Home
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,92,95,L,Home
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,89,106,L,Away
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,80,111,L,Home
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,92,96,L,Home
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,98,100,L,Home
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,87,101,L,Away
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,101,91,W,Home
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,86,102,L,Home
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,91,99,L,Home
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,80,79,W,Away
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,112,108,W,Away
Quincy Acy,2015.0,NYK,68.0,398.0,301.0,68.0,90,112,L,Home
Jordan Adams,2015.0,MEM,30.0,94.0,28.0,16.0,105,101,W,Home
Jordan Adams,2015.0,MEM,30.0,94.0,28.0,16.0,97,89,W,Away
Jordan Adams,2015.0,MEM,30.0,94.0,28.0,16.0,71,69,W,Away
Jordan Adams,2015.0,MEM,30.0,94.0,28.0,16.0,93,81,W,Home
Jordan Adams,2015.0,MEM,30.0,94.0,28.0,16.0,102,91,W,Away
Jordan Adams,2015.0,MEM,30.0,94.0,28.0,16.0,91,89,W,Away
Jordan Adams,2015.0,MEM,30.0,94.0,28.0,16.0,92,93,L,Away
Jordan Adams,2015.0,MEM,30.0,94.0,28.0,16.0,107,102,W,Home
Jordan Adams,2015.0,MEM,30.0,94.0,28.0,16.0,111,110,W,Home
Jordan Adams,2015.0,MEM,30.0,94.0,28.0,16.0,95,88,W,Home
Jordan Adams,2015.0,MEM,30.0,94.0,28.0,16.0,119,93,W,Home
Jordan Adams,2015.0,MEM,30.0,94.0,28.0,16.0,92,96,L,Away
Jordan Adams,2015.0,MEM,30.0,94.0,28.0,16.0,117,100,W,Home
Jordan Adams,2015.0,MEM,30.0,94.0,28.0,16.0,107,91,W,Home
Jordan Adams,2015.0,MEM,30.0,94.0,28.0,16.0,99,93,W,Away
Jordan Adams,2015.0,MEM,30.0,94.0,28.0,16.0,112,99,W,Away
Jordan Adams,2015.0,MEM,30.0,94.0,28.0,16.0,97,85,W,Away
